time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-18 00:00:00+00:00,130,2,27,15
2021-09-19 00:00:00+00:00,139,4,88,19
2021-09-20 00:00:00+00:00,116,8,98,38
2021-09-21 00:00:00+00:00,26,5,149,41
2021-09-22 00:00:00+00:00,72,10,212,35
2021-09-23 00:00:00+00:00,14,6,92,32
2021-09-24 00:00:00+00:00,4,4,111,39
2021-09-25 00:00:00+00:00,13,9,60,19
2021-09-26 00:00:00+00:00,1,1,121,28
2021-09-27 00:00:00+00:00,45,4,153,50
2021-09-28 00:00:00+00:00,1,1,120,38
2021-09-29 00:00:00+00:00,7,3,166,44
2021-09-30 00:00:00+00:00,3,3,155,48
2021-10-01 00:00:00+00:00,26,8,134,34
